Uniqueid,Region,Location,Zipcode,Latitude,Longitude
d1e63f10-a438-4227-9ccb-738b692be5e3,OR,Portland2,97207,0,0
c30b55aa-273e-4b9b-8d2f-98a8282f500c,OR,Portland1,97210,45.535472,-122.699835
e8666639-8fac-4ec0-9f26-0d0a7326634c,OR,Portland3,97201,45.512101,-122.67705
776e82a6-acdf-48b8-81ae-f4694d6529b5,OR,Portland2,97203,0,0
a87f15ed-8f58-4b2d-9ec7-718790023ee6,OR,Portland2,97210,0,0
b33ca19e-804c-44a1-948f-05d33e6b475e,OR,Portland2,97209,0,0
d8356685-5e81-4d61-82c5-71c80fcd656c,OR,Portland2,97206,0,0
61befa3e-21ea-4b89-a148-80f961c9c526,OR,Portland1,97202,45.439942,-122.609224
db297c32-12e8-468f-ac16-be511b6e3d94,OR,Portland3,97201,45.512101,-122.67705
006f6176-7202-494a-8641-3360099cdd0e,OR,Portland3,97201,45.512101,-122.67705
d4919993-06a2-476c-8cc0-adf34497b277,OR,Portland2,97203,0,0
22ada925-a793-42a0-a628-9e3cace2de6e,OR,Portland1,97205,45.500502,-122.79599
23e53d12-2962-494b-a4b3-c789368102f3,OR,Portland2,97207,0,0
c841637e-d0ea-4105-ac33-1b29ea73ac7f,OR,Portland2,97203,0,0
805f1c3d-970d-42a3-a83c-42b2025c101f,OR,Portland1,97203,45.537244,-122.602893
9226aeb8-6523-4fa9-82a4-9e47c33793f3,OR,Portland3,97201,45.512101,-122.67705
bb08b8e5-538a-4b0e-b96d-0ba2eaa54e7f,OR,Portland3,97201,45.512101,-122.67705
dfcc21c0-ccf9-4011-96a8-b7fec5dbaed2,OR,Portland2,97206,0,0
02267d90-07cf-4738-b966-07dd6ec20238,OR,Portland2,97204,0,0
715bd436-bba1-429d-8c37-cc926cffc982,OR,Portland2,97202,0,0
4c894f11-5420-4f05-a90f-ea83910f8a01,OR,Portland1,97207,45.413572,-122.595845
7012b8c7-6088-425f-9ffb-8e14727e2517,OR,Portland2,97202,0,0
71af4862-ff90-4a48-9ee3-a21803f88434,OR,Portland3,97201,45.512101,-122.67705
8a89c14a-3913-4489-a5cd-4506277490b1,OR,Portland3,97201,45.512101,-122.67705
ee6dcabe-5af7-43fe-92f9-4f302ad18ee4,OR,Portland3,97201,45.512101,-122.67705
e7270855-0736-44f8-823f-e038f213afe8,OR,Portland2,97209,0,0
08f60068-6be5-412c-bca0-41183c264d90,OR,Portland1,97209,45.526378,-122.682866
5d2f32b3-59aa-4959-9afc-e0e67d5bad09,OR,Portland2,97204,0,0
b1410fd6-fba0-46fd-8d4d-706a64c4cc5b,OR,Portland2,97209,0,0
dd1443dc-e757-4bff-8559-23e4f1a2fdbb,OR,Portland2,97206,0,0
071fd177-7ac3-4db1-9c06-3f536e13dfec,OR,Portland2,97207,0,0
